;symbol;name;asset_type;div_yield;eps;pe_ratio
85;EVN;Eaton Vance Municipal Income Trust;Stock;4.3;N/A;N/A
21;AVAL;GRUPO AVAL ACCI/S;Stock;4.3;0.89;10.18
282;NXJ;Nuveen New Jersey Dividend Advantg Mncpl;Stock;4.29;N/A;N/A
95;MUJ;BlackRock MuniHoldings New Jersey Ins Fn;Stock;4.28;N/A;N/A
283;NEA;Nuveen Amt-Free Quality Municpl Incm Fnd;Stock;4.28;N/A;N/A
307;BYM;BlackRock Insured Municipal Income Trust;Stock;4.26;N/A;N/A
125;BKN;BlackRock Inv. Quality Munic. Trust;Stock;4.23;N/A;N/A
91;KTF;DWS Municipal Income Trust;Stock;4.2;N/A;N/A
75;VCV;Invesco California Value Mncpl Incm Trst;Stock;4.16;N/A;N/A
157;MNP;Western Asset Municipal Partners Fnd;Stock;4.12;N/A;N/A
79;NQP;Nuveen Pennsylvania Invsmt Qlty Mncpl Fd;Stock;4.12;N/A;N/A
84;MFL;BlackRock MuniHolding Insured Investm;Stock;4.07;N/A;N/A
98;MIY;Blackrock Muniyield Michign Qulty Fd;Stock;4.07;N/A;N/A
251;BFY;Blackrock New York Municipal Incme Tr II;Stock;3.98;N/A;N/A
439;NAN;Nuveen New York Dividend Advntg Mncpl Fd;Stock;3.95;N/A;N/A
264;ETX;EATON VANCE MUN/SHS;Stock;3.93;N/A;N/A
87;MCA;Blackrock Muniyld California Quty Fd;Stock;3.93;N/A;N/A
147;MPA;BlackRock MuniYield Pennsylvania Insured;Stock;3.92;N/A;N/A
438;NRK;Nuveen New York AMT-Fr Qty Mnpl Incm Fd;Stock;3.87;N/A;N/A
119;LAND;Gladstone Land;Stock;3.82;-0.12;-108.62
384;AFB;AllianceBernstein Natnl Muncpl Incm Fnd.;Stock;3.82;N/A;N/A
83;MYN;BlackRock MuniYield New York Insured Fnd;Stock;3.8;N/A;N/A
154;MHF;Western Asset Municipal Hgh Incm Fnd;Stock;3.79;N/A;N/A
96;MHN;Blackrock Muniholdings New York Qulty Fd;Stock;3.72;N/A;N/A
406;WIW;Western Asst Inflatn Lkd Opts & Inc Fd;Stock;3.71;N/A;N/A
345;FIV;1ST TR SR FR 20/COM;Stock;3.66;N/A;N/A
155;NAZ;Nuveen Arizona Premium Income Mun Fd;Stock;3.64;N/A;N/A
327;MUI;Blackrock Muni Intermediate Drtn Fnd;Stock;3.62;N/A;N/A
6;O;Realty Income;Stock;3.61;1.55;55.19
441;BNY;Blackrock New York Municipal Income Trst;Stock;3.59;N/A;N/A
379;NID;Nuveen Intermediate Duration Munpl Tm Fd;Stock;3.58;N/A;N/A
440;NKG;Nuveen Georgia Dividend Advntg Mncpl Fd2;Stock;3.52;N/A;N/A
250;BSE;BlackRock New York Insured Municipal;Stock;3.52;N/A;N/A
162;NMT;Nuveen Massachusetts Pre Income Mun Fd;Stock;3.43;N/A;N/A
130;NXP;Nuveen Select Tax-Free Income Portfolio;Stock;3.41;N/A;N/A
249;BQH;Blackrock New York Municipal Bond Trust;Stock;3.38;N/A;N/A
193;NXN;Nuveen NY Select Tax-Free Income Portfol;Stock;3.35;N/A;N/A
156;NNY;Nuveen NY Municipal Value;Stock;3.34;N/A;N/A
405;WIA;Western Asset Inflation-Linked Income Fd;Stock;3.3;N/A;N/A
140;NXR;Nuveen Select Tax-Free Incom Portfolio 3;Stock;3.17;N/A;N/A
259;MNE;BlackRock Muni New York Intr. Dur. Fnd.;Stock;3.02;N/A;N/A
308;BTT;Blackrock Municipal 2030 Trgt Trm Trst;Stock;3.02;N/A;N/A
164;DTF;DTF Tax Free Income;Stock;2.95;N/A;N/A
323;NIQ;Nuveen Intermediate Duration Qlty Mun FD;Stock;2.8;N/A;N/A
214;GROW;U.S. Global Investors;Stock;2.59;N/A;-4.83
241;BKK;Blackrock Municipal 2020 Term Trust;Stock;2.53;N/A;N/A
120;GWRS;Global Water Resources;Stock;2.25;0.16;108.33
57;ERF;Enerplus;Stock;2.2;0.71;-4.47
339;NHA;NUVEEN MUN 2021/COM;Stock;2.03;N/A;N/A
210;CSA;VictoryShares US Small Cap Volatility Wtd;Stock;1.48;N/A;N/A
3;BBDO;BANCO BRADESCO/S;Stock;0.67;N/A;8.36
2;BBD;Banco Bradesco;Stock;0.62;0.81;9.11
0;ITUB;Itau Unibanco;Stock;0.6;0.71;9.54
186;EVLMC;Eaton Vance TABS 5 to 15 Year Laddered Municipal NextShares;Stock;0.19;N/A;N/A
189;EVGBC;Eaton Vance Global Income Builder NextShares;Stock;0.12;N/A;N/A
216;ROYT;Pacific Coast Oil Trust;Stock;0.0;0.08;0.88
